id_ibge,nc,votos,urnas_apuradas,prop,secoes_totais
1303536,JAIR BOLSONARO,7935,100.00,46.75,79
1303536,LULA,9038,100.00,53.25,79
1303569,JAIR BOLSONARO,6081,100.00,47.39,63
1303569,LULA,6752,100.00,52.61,63
1303601,JAIR BOLSONARO,1305,100.00,26.06,27
1303601,LULA,3703,100.00,73.94,27
1303700,JAIR BOLSONARO,3150,100.00,26.25,47
1303700,LULA,8849,100.00,73.75,47
1303809,JAIR BOLSONARO,4103,100.00,19.36,97
1303809,LULA,17090,100.00,80.64,97
1303908,JAIR BOLSONARO,2231,100.00,15.76,53
1303908,LULA,11922,100.00,84.24,53
1303957,JAIR BOLSONARO,2279,100.00,47.23,19
1303957,LULA,2546,100.00,52.77,19
1304005,JAIR BOLSONARO,1081,100.00,18.47,22
1304005,LULA,4771,100.00,81.53,22
1304062,JAIR BOLSONARO,8582,100.00,33.07,98
1304062,LULA,17368,100.00,66.93,98
1304104,JAIR BOLSONARO,3967,100.00,46.05,40
1304104,LULA,4648,100.00,53.95,40
1304203,JAIR BOLSONARO,11300,100.00,35.78,134
1304203,LULA,20281,100.00,64.22,134
1304237,JAIR BOLSONARO,1298,100.00,17.07,30
1304237,LULA,6307,100.00,82.93,30
1304260,JAIR BOLSONARO,1936,100.00,32.14,28
1304260,LULA,4087,100.00,67.86,28
1304302,JAIR BOLSONARO,1908,100.00,23.20,35
1304302,LULA,6317,100.00,76.80,35
1304401,JAIR BOLSONARO,1836,100.00,20.61,40
1304401,LULA,7073,100.00,79.39,40
1400027,JAIR BOLSONARO,3610,100.00,77.20,27
1400027,LULA,1066,100.00,22.80,27
1400050,JAIR BOLSONARO,6030,100.00,73.96,43
1400050,LULA,2123,100.00,26.04,43
1400100,JAIR BOLSONARO,144799,100.00,79.47,741
1400100,LULA,37412,100.00,20.53,741
1400159,JAIR BOLSONARO,5199,100.00,68.58,41
1400159,LULA,2382,100.00,31.42,41
1400175,JAIR BOLSONARO,7107,100.00,72.77,53
1400175,LULA,2660,100.00,27.23,53
1400209,JAIR BOLSONARO,7077,100.00,72.17,55
1400209,LULA,2729,100.00,27.83,55
1400233,JAIR BOLSONARO,4135,100.00,80.23,26
1400233,LULA,1019,100.00,19.77,26
1400282,JAIR BOLSONARO,2980,100.00,70.32,23
1400282,LULA,1258,100.00,29.68,23
1400308,JAIR BOLSONARO,7412,100.00,78.83,44
1400308,LULA,1991,100.00,21.17,44
1400407,JAIR BOLSONARO,3517,100.00,58.20,30
1400407,LULA,2526,100.00,41.80,30
1400456,JAIR BOLSONARO,3838,100.00,63.93,36
1400456,LULA,2165,100.00,36.07,36
1400472,JAIR BOLSONARO,10843,100.00,73.32,80
1400472,LULA,3946,100.00,26.68,80
1400506,JAIR BOLSONARO,2471,100.00,66.89,21
1400506,LULA,1223,100.00,33.11,21
1400605,JAIR BOLSONARO,2854,100.00,72.22,22
1400605,LULA,1098,100.00,27.78,22
1400704,JAIR BOLSONARO,1646,100.00,31.80,26
1400704,LULA,3530,100.00,68.20,26
1500107,JAIR BOLSONARO,25118,100.00,25.78,346
1500107,LULA,72313,100.00,74.22,346
1500131,JAIR BOLSONARO,1768,100.00,42.86,18
1500131,LULA,2357,100.00,57.14,18
1500206,JAIR BOLSONARO,11026,100.00,30.89,144
1500206,LULA,24668,100.00,69.11,144
1500305,JAIR BOLSONARO,6268,100.00,33.14,90
1500305,LULA,12643,100.00,66.86,90
1500347,JAIR BOLSONARO,4424,100.00,58.63,30
1500347,LULA,3122,100.00,41.37,30
1500404,JAIR BOLSONARO,15563,100.00,49.28,153
1500404,LULA,16020,100.00,50.72,153
1500503,JAIR BOLSONARO,4855,100.00,29.77,85
1500503,LULA,11451,100.00,70.23,85
1500602,JAIR BOLSONARO,39713,100.00,62.48,273
1500602,LULA,23852,100.00,37.52,273
1500701,JAIR BOLSONARO,6968,100.00,49.18,66
1500701,LULA,7201,100.00,50.82,66
1500800,JAIR BOLSONARO,138978,100.00,50.28,911
1500800,LULA,137406,100.00,49.72,911
1500859,JAIR BOLSONARO,9673,100.00,61.57,63
1500859,LULA,6037,100.00,38.43,63
1500909,JAIR BOLSONARO,7086,100.00,26.88,122
1500909,LULA,19278,100.00,73.12,122
1500958,JAIR BOLSONARO,3845,100.00,28.67,64
